Email,Phone Number
john.doe@example.com,+27 12 345 6789
jane.smith@example.com,+27 21 987 6543
peter.jones@example.com,+27 31 456 1230
mary.brown@example.com,+27 41 789 0123
david.wilson@example.com,+27 51 123 4567
sarah.garcia@example.com,+27 61 567 8901
michael.davis@example.com,+27 71 901 2345
linda.rodriguez@example.com,+27 81 234 5678
james.williams@example.com,+27 11 678 9012
jennifer.martinez@example.com,+27 22 012 3456
christopher.anderson@example.com,+27 33 456 7890
elizabeth.taylor@example.com,+27 44 890 1234
matthew.thomas@example.com,+27 55 234 6789
angela.jackson@example.com,+27 66 789 0123
kevin.white@example.com,+27 77 123 5678
jessica.harris@example.com,+27 88 567 9012
jason.martin@example.com,+27 10 901 3456
amanda.thompson@example.com,+27 23 456 8901
jeffrey.garcia@example.com,+27 34 890 2345
lisa.davis@example.com,+27 45 234 7890
